language,model,rate_|lex-sem|>=1
ALL,gpt-4,0.11428571428571428
ALL,gpt-5-2,0.11428571428571428
ALL,meta-llama-3-1-8b-instruct,0.08571428571428572
ALL,deepl,0.05714285714285714
ALL,llama-3-3-70b-instruct,0.05714285714285714
ALL,meta-llama-3-1-405b-instruct,0.05714285714285714
ALL,azure-translator,0.02857142857142857
ALL,gemini-3-pro,0.02857142857142857
ALL,google-translate,0.02857142857142857
arabic,azure-translator,0.2
arabic,gpt-4,0.2
arabic,gpt-5-2,0.2
arabic,meta-llama-3-1-8b-instruct,0.2
arabic,deepl,0.0
arabic,gemini-3-pro,0.0
arabic,google-translate,0.0
arabic,llama-3-3-70b-instruct,0.0
arabic,meta-llama-3-1-405b-instruct,0.0
english,deepl,0.2
english,gpt-4,0.2
english,azure-translator,0.0
english,gemini-3-pro,0.0
english,google-translate,0.0
english,gpt-5-2,0.0
english,llama-3-3-70b-instruct,0.0
english,meta-llama-3-1-405b-instruct,0.0
english,meta-llama-3-1-8b-instruct,0.0
german,google-translate,0.2
german,azure-translator,0.0
german,deepl,0.0
german,gemini-3-pro,0.0
german,gpt-4,0.0
german,gpt-5-2,0.0
german,llama-3-3-70b-instruct,0.0
german,meta-llama-3-1-405b-instruct,0.0
german,meta-llama-3-1-8b-instruct,0.0
polish,gpt-4,0.2
polish,azure-translator,0.0
polish,deepl,0.0
polish,gemini-3-pro,0.0
polish,google-translate,0.0
polish,gpt-5-2,0.0
polish,llama-3-3-70b-instruct,0.0
polish,meta-llama-3-1-405b-instruct,0.0
polish,meta-llama-3-1-8b-instruct,0.0
spanish,deepl,0.2
spanish,gemini-3-pro,0.2
spanish,gpt-4,0.2
spanish,gpt-5-2,0.2
spanish,llama-3-3-70b-instruct,0.2
spanish,meta-llama-3-1-405b-instruct,0.2
spanish,meta-llama-3-1-8b-instruct,0.2
spanish,azure-translator,0.0
spanish,google-translate,0.0
turkish,gpt-5-2,0.2
turkish,llama-3-3-70b-instruct,0.2
turkish,meta-llama-3-1-405b-instruct,0.2
turkish,meta-llama-3-1-8b-instruct,0.2
turkish,azure-translator,0.0
turkish,deepl,0.0
turkish,gemini-3-pro,0.0
turkish,google-translate,0.0
turkish,gpt-4,0.0
ukrainian,gpt-5-2,0.2
ukrainian,azure-translator,0.0
ukrainian,deepl,0.0
ukrainian,gemini-3-pro,0.0
ukrainian,google-translate,0.0
ukrainian,gpt-4,0.0
ukrainian,llama-3-3-70b-instruct,0.0
ukrainian,meta-llama-3-1-405b-instruct,0.0
ukrainian,meta-llama-3-1-8b-instruct,0.0
