language,metric,winner,winner_score,tie_top2
arabic,BERTScore-F1,gemini-3-pro,93.75442028045654,True
arabic,BLEU,gemini-3-pro,27.831630019850177,True
arabic,COMET,gemini-3-pro,84.51454162597656,True
arabic,TER,gemini-3-pro,66.11570247933885,True
arabic,chrF,gemini-3-pro,48.65745270094975,True
english,BERTScore-F1,gpt-5-2,95.59324979782104,True
english,BLEU,gemini-3-pro,47.75828417737943,True
english,COMET,gemini-3-pro,81.96242332458496,True
english,TER,gpt-5-2,41.86991869918699,True
english,chrF,gemini-3-pro,61.732910047815906,True
german,BERTScore-F1,gpt-5-2,96.87086224555968,True
german,BLEU,gpt-5-2,45.89728535445281,True
german,COMET,gpt-5-2,88.77876400947571,True
german,TER,gpt-5-2,35.858585858585855,True
german,chrF,gpt-5-2,70.23960883831023,True
polish,BERTScore-F1,gpt-5-2,95.50168991088869,True
polish,BLEU,gpt-5-2,48.897922647923274,True
polish,COMET,google-translate,89.75180387496948,True
polish,TER,google-translate,41.17647058823529,True
polish,chrF,google-translate,63.62350837145322,True
spanish,BERTScore-F1,deepl,97.39498734474182,True
spanish,BLEU,deepl,59.039328282445055,True
spanish,COMET,gpt-5-2,85.10621547698975,True
spanish,TER,deepl,25.321888412017167,True
spanish,chrF,deepl,72.16842085043203,True
turkish,BERTScore-F1,deepl,94.89212989807127,True
turkish,BLEU,deepl,35.5993942267639,True
turkish,COMET,google-translate,85.76396465301514,True
turkish,TER,deepl,59.61538461538461,True
turkish,chrF,deepl,50.56443190618614,True
ukrainian,BERTScore-F1,gpt-5-2,93.5449481010437,True
ukrainian,BLEU,gpt-5-2,22.459738275302463,True
ukrainian,COMET,meta-llama-3-1-8b-instruct,81.90774083137512,True
ukrainian,TER,gemini-3-pro,65.09803921568627,True
ukrainian,chrF,gpt-5-2,44.46501353198389,True
