model_a,model_b,mean_diff_A_minus_B,p_value_conservative,holm_sig_unordered_pair
azure-translator,deepl,-3.2045466559273863,0.25224071702944945,False
azure-translator,gemini-3-pro,-4.674969911575317,0.8040973111395646,False
azure-translator,google-translate,-3.0605842385973254,0.29577464788732394,False
azure-translator,gpt-4,-2.8116895471300403,0.20742637644046094,False
azure-translator,gpt-5-2,-3.498110430581229,0.7311139564660691,False
azure-translator,llama-3-3-70b-instruct,-1.632439749581474,0.5915492957746479,False
azure-translator,meta-llama-3-1-405b-instruct,-1.9132162843431746,0.9961587708066582,False
azure-translator,meta-llama-3-1-8b-instruct,2.5190780844007215,0.9961587708066582,False
deepl,azure-translator,3.2045466559273863,0.2560819462227913,False
deepl,gemini-3-pro,-1.4704232556479317,0.5928297055057619,False
deepl,google-translate,0.14396241733006068,0.7285531370038413,False
deepl,gpt-4,0.39285710879734587,0.8092189500640204,False
deepl,gpt-5-2,-0.2935637746538431,0.6850192061459667,False
deepl,llama-3-3-70b-instruct,1.5721069063459119,0.8937259923175416,False
deepl,meta-llama-3-1-405b-instruct,1.2913303715842115,0.9231754161331626,False
deepl,meta-llama-3-1-8b-instruct,5.723624740328107,0.8028169014084507,False
gemini-3-pro,azure-translator,4.674969911575317,0.8681177976952625,False
gemini-3-pro,deepl,1.4704232556479317,0.6670934699103713,False
gemini-3-pro,google-translate,1.6143856729779924,0.6030729833546735,False
gemini-3-pro,gpt-4,1.8632803644452776,0.8873239436619719,False
gemini-3-pro,gpt-5-2,1.1768594809940889,0.6427656850192062,False
gemini-3-pro,llama-3-3-70b-instruct,3.042530161993844,0.6542893725992317,False
gemini-3-pro,meta-llama-3-1-405b-instruct,2.7617536272321432,0.8911651728553137,False
gemini-3-pro,meta-llama-3-1-8b-instruct,7.19404799597604,0.9769526248399488,False
google-translate,azure-translator,3.0605842385973254,0.2714468629961588,False
google-translate,deepl,-0.14396241733006068,0.7298335467349552,False
google-translate,gemini-3-pro,-1.6143856729779924,0.6056338028169014,False
google-translate,gpt-4,0.24889469146728516,0.9359795134443022,False
google-translate,gpt-5-2,-0.4375261919839038,0.8040973111395646,False
google-translate,llama-3-3-70b-instruct,1.4281444890158512,0.7746478873239436,False
google-translate,meta-llama-3-1-405b-instruct,1.1473679542541508,0.9590268886043534,False
google-translate,meta-llama-3-1-8b-instruct,5.579662322998047,0.8335467349551856,False
gpt-4,azure-translator,2.8116895471300403,0.19846350832266324,False
gpt-4,deepl,-0.39285710879734587,0.7900128040973111,False
gpt-4,gemini-3-pro,-1.8632803644452776,0.9346991037131882,False
gpt-4,google-translate,-0.24889469146728516,0.939820742637644,False
gpt-4,gpt-5-2,-0.6864208834511889,0.8732394366197183,False
gpt-4,llama-3-3-70b-instruct,1.179249797548566,0.9935979513444302,False
gpt-4,meta-llama-3-1-405b-instruct,0.8984732627868656,0.9551856594110115,False
gpt-4,meta-llama-3-1-8b-instruct,5.330767631530762,0.44558258642765686,False
gpt-5-2,azure-translator,3.498110430581229,0.6991037131882202,False
gpt-5-2,deepl,0.2935637746538431,0.6606914212548015,False
gpt-5-2,gemini-3-pro,-1.1768594809940889,0.6811779769526248,False
gpt-5-2,google-translate,0.4375261919839038,0.8233034571062741,False
gpt-5-2,gpt-4,0.6864208834511889,0.8693982074263764,False
gpt-5-2,llama-3-3-70b-instruct,1.8656706809997552,0.8847631241997439,False
gpt-5-2,meta-llama-3-1-405b-instruct,1.5848941462380546,0.8437900128040973,False
gpt-5-2,meta-llama-3-1-8b-instruct,6.017188514981951,0.649167733674776,False
llama-3-3-70b-instruct,azure-translator,1.632439749581474,0.5800256081946222,False
