language,model,chrf,bertscore_f1,disagree,abs_disagree,outlier_rank_abs,worst_unit_id_by_y,worst_sys_excerpt,worst_ref_excerpt
english,gemini-3-pro,61.732910047815906,95.26718020439148,1.3722360408124925,1.3722360408124925,2,2,Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information regarding your WAO/WIA benefit. The overview below explains what this means for you.,Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,deepl,60.25765015939525,95.04069209098816,1.3098959570150743,1.3098959570150743,3,2,Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. The overview below explains what this means for you.,Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,google-translate,54.47338806559217,94.1780972480774,1.004243995674055,1.004243995674055,6,2,Your PVD has changed. You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. The overview below explains what this means for you.,Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
ukrainian,google-translate,36.31608798547193,91.80261969566344,0.9650144292772207,0.9650144292772207,7,2,"Ваш PVD змінився. Ви отримуєте допомогу WAO/WIA. UWV надав нам нову інформацію про вашу допомогу WAO/WIA. У наведеному нижче огляді пояснюється, що це означає для вас.","У Вашій PVD відбулися зміни. Вам було призначено допомогу, обумовлену Законом «Про роботу та доходи за працездатністю». Інститутом нам було надано оновлену інформацію щодо призначеної Вам допомоги, обумовленої Законом «Про роботу та доходи …"
spanish,google-translate,57.012860409421194,95.17227411270142,0.47004695759982584,0.47004695759982584,10,1,"Está acumulando una pensión no contributiva con nosotros. Esto se debe a su discapacidad y a que recibe una prestación de WAO/WIA de la UWV. Por lo tanto, pagamos (parte de) su prima de pensión. Esto se denomina participación no contributiv…","Usted recibe una “pensión exenta de contribuciones” con nosotros Esto se debe a que está incapacitado para trabajar y a que recibe una prestación WAO/WIA del UWV. Por eso, pagamos (una parte de) su contribución a la pensión. A esto lo llama…"
english,meta-llama-3-1-8b-instruct,55.318532452769674,95.35677790641785,-1.4855454743994183,1.4855454743994183,1,2,"Your PVD has changed You have a WAO/WIA benefit. The UWV has given us new information about your WAO/WIA benefit. In the overview below, you will read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,llama-3-3-70b-instruct,56.857409026639274,95.47703623771667,-1.1412332114551031,1.1412332114551031,4,2,"Your PVD has changed You have a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
english,meta-llama-3-1-405b-instruct,57.05084178434859,95.49264907836914,-1.0991499217341996,1.0991499217341996,5,2,"Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
turkish,meta-llama-3-1-405b-instruct,40.37406568669106,94.21187043190002,-0.8270360777173189,0.8270360777173189,8,4,İş göremezliğinizdeki değişiklikleri kendiniz bildirmelisiniz UWV'den yeni bir mektup alıyor musunuz? O zaman bize o mektubun bir kopyasını göndermelisiniz. Bizim ödediğimiz prim kısmı değişir.,"İş göremezlik durumunuzdaki değişiklikleri bildirmekle yükümlüsünüz. UWV'den tarafınıza yeni bir yazı gönderilmesi durumunda, bu yazının bir kopyasını tarafımıza göndermeniz gerekecektir. Sonrasında, tarafımızca ödenecek katkı miktarı …"
english,azure-translator,56.93518028607786,95.34144163131714,-0.7827293336747949,0.7827293336747949,9,2,"Your PVD has changed You receive a WAO/WIA benefit. The UWV has provided us with new information about your WAO/WIA benefit. In the overview below, you can read what this means for you.",Your PVD has changed You receive benefits under the Disability Insurance/Work and Income Capacity for Work Act. The UWV has provided us with new information regarding your benefits under the Disability Insurance/Work and Income Capacity for…
